greek	lemma	grammar	isopsephy	roman	root	root_translation	root_isopsephy	primes	root_primes	geometry	root_geometry	occurrences
γενεσθαι	G1096	V-2ADN	283	genesthai	γινομαι	"to cause to be (""gen""-erate), i.e. (reflexively) to become (come into being), used with great latitude (literal, figurative, intensive, etc.)"	184	(283,)	(2, 23)	(200, 400, 163, 490, 127, 633, 116, 693, 175, 458, 90, 889)	(130, 260, 106, 319, 82, 411, 75, 451, 114, 298, 59, 578)	1:1, 4:1, 22:6
ταχει	G5034	N-DSN	916	taxei	ταχος	a brief space (of time), i.e. (with G1722 (τάχος) prefixed) in haste	1171	(2, 229)	(1171,)	(648, 1295, 529, 1587, 410, 2048, 374, 2244, 566, 1482, 292, 2878)	(828, 1656, 676, 2028, 524, 2618, 478, 2868, 724, 1895, 373, 3679)	1:1, 2:5, 22:6
εσημανεν	G4591	V-AAI-3S	359	esēmanen	σημαινω	of uncertain derivation); to indicate	1109	(359,)	(1109,)	(254, 508, 207, 622, 161, 803, 147, 879, 222, 581, 114, 1128)	(784, 1568, 640, 1921, 496, 2480, 453, 2716, 685, 1794, 353, 3484)	1:1
αποστειλας	G649	V-AAP-NSM	897	aposteilas	αποστελλω	set apart, i.e. (by implication) to send out (properly, on a mission) literally or figuratively	1516	(3, 13, 23)	(2, 379)	(634, 1269, 518, 1554, 401, 2006, 366, 2197, 554, 1451, 286, 2818)	(1072, 2144, 875, 2626, 678, 3390, 619, 3713, 937, 2453, 483, 4763)	1:1
αγγελου	G32	N-GSM	512	aggelou	αγγελος	"compare G34 (ἄγγελος)) (to bring tidings); a messenger; especially an ""angel""; by implication, a pastor"	312	(2,)	(2, 3, 13)	(362, 724, 296, 887, 229, 1145, 209, 1254, 316, 828, 163, 1608)	(221, 441, 180, 540, 140, 698, 127, 764, 193, 505, 99, 980)	1:1, 8:4, 8:13, 10:7, 10:8, 10:10, 16:5, 21:17, 22:8
δουλω	G1401	N-DSM	1304	doulō	δουλος	a slave (literal or figurative, involuntary or voluntary; frequently, therefore in a qualified sense of subjection or subserviency)	774	(2, 163)	(2, 3, 43)	(922, 1844, 753, 2259, 583, 2916, 532, 3194, 806, 2110, 415, 4097)	(547, 1095, 447, 1341, 346, 1731, 316, 1896, 478, 1252, 246, 2432)	1:1
ιωαννη	G2491	N-DSM	919	iōannē	Ιωαννης	Joannes (i.e. Jochanan), the name of four Israelites	1119	(919,)	(3, 373)	(650, 1300, 531, 1592, 411, 2055, 375, 2251, 568, 1487, 293, 2887)	(791, 1583, 646, 1938, 500, 2502, 457, 2741, 692, 1811, 356, 3515)	1:1
εμαρτυρησεν	G3140	V-AAI-3S	1209	emarturēsen	μαρτυρεω	to be a witness, i.e. testify (literally or figuratively)	1746	(3, 13, 31)	(2, 3, 97)	(855, 1710, 698, 2094, 541, 2703, 494, 2961, 747, 1956, 385, 3798)	(1235, 2469, 1008, 3024, 781, 3904, 713, 4277, 1079, 2825, 556, 5485)	1:2
λογον	G3056	N-ASM	223	logon	λογος	something said (including the thought); by implication, a topic (subject of discourse), also reasoning (the mental faculty) or motive; by extension, a computation; specially, (with the article in John) the Divine Expression (i.e. Christ)	373	(223,)	(373,)	(158, 315, 129, 386, 100, 499, 91, 546, 138, 361, 71, 701)	(264, 528, 215, 646, 167, 834, 152, 914, 231, 604, 119, 1172)	1:2, 1:9, 3:8, 3:10, 6:9, 12:11, 20:4
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
μαρτυριαν	G3141	N-ASF	1002	marturian	μαρτυρια	evidence given (judicially or genitive case)	952	(2, 3, 167)	(2, 7, 17)	(709, 1417, 579, 1736, 448, 2241, 409, 2454, 619, 1621, 319, 3148)	(673, 1346, 550, 1649, 426, 2129, 389, 2332, 588, 1540, 303, 2991)	1:2, 1:9, 6:9, 11:7, 12:17, 19:10, 20:4
ιησου	G2424	N-GSM	688	iēsou	Ιησους	Jesus (i.e. Jehoshua), the name of our Lord and two (three) other Israelites	888	(2, 43)	(2, 3, 37)	(486, 973, 397, 1192, 308, 1538, 281, 1685, 425, 1113, 219, 2161)	(628, 1256, 513, 1538, 397, 1986, 363, 2175, 549, 1437, 283, 2790)	1:1, 1:2, 1:5, 1:9, 12:17, 14:12, 17:6, 19:10, 20:4, 22:20, 22:21
χριστου	G5547	N-GSM	1680	xristou	Χριστος	anointed, i.e. the Messiah, an epithet of Jesus	1480	(2, 3, 5, 7)	(2, 5, 37)	(1188, 2376, 970, 2910, 751, 3757, 686, 4115, 1038, 2718, 535, 5278)	(1047, 2093, 854, 2563, 662, 3309, 604, 3625, 915, 2395, 471, 4650)	1:1, 1:2, 1:5, 1:9, 11:15, 12:10, 12:17, 20:4, 20:6, 22:21
ειδεν	G1492	V-2AAI-3S	74	eiden	ειδω	used only in certain past tenses, the others being borrowed from the equivalent G3700 (εἴδω) and G3708 (εἴδω); properly, to see (literally or figuratively); by implication, (in the perfect tense only) to know	819	(2, 37)	(3, 7, 13)	(52, 105, 43, 128, 33, 165, 30, 181, 46, 120, 24, 232)	(579, 1158, 473, 1419, 366, 1831, 334, 2006, 506, 1325, 261, 2573)	1:2, 12:13
μακαριος	G3107	A-NSM	442	makarios	μακαριος	supremely blest; by extension, fortunate, well off	442	(2, 13, 17)	(2, 13, 17)	(313, 625, 255, 766, 198, 988, 180, 1083, 273, 715, 141, 1389)	(313, 625, 255, 766, 198, 988, 180, 1083, 273, 715, 141, 1389)	1:3, 16:15, 20:6, 22:7
αναγινωσκων	G314	V-PAP-NSM	1985	anaginōskōn	αναγινωσκω	to know again, i.e. (by extension) to read	1935	(5, 397)	(3, 5, 43)	(1404, 2807, 1146, 3438, 888, 4439, 810, 4862, 1227, 3212, 632, 6236)	(1368, 2737, 1117, 3352, 865, 4327, 790, 4740, 1196, 3131, 616, 6079)	1:3
ακουοντες	G191	V-PAP-NPM	1116	akouontes	ακουω	to hear (in various senses)	1291	(2, 3, 31)	(1291,)	(789, 1578, 644, 1933, 499, 2495, 456, 2734, 690, 1806, 355, 3506)	(913, 1826, 745, 2236, 577, 2887, 527, 3162, 798, 2089, 411, 4056)	1:3
λογους	G3056	N-APM	773	logous	λογος	something said (including the thought); by implication, a topic (subject of discourse), also reasoning (the mental faculty) or motive; by extension, a computation; specially, (with the article in John) the Divine Expression (i.e. Christ)	373	(773,)	(373,)	(547, 1093, 446, 1339, 346, 1728, 316, 1893, 478, 1251, 246, 2428)	(264, 528, 215, 646, 167, 834, 152, 914, 231, 604, 119, 1172)	1:3, 22:7, 22:9, 22:10, 22:18
προφητειας	G4394	N-GSF	1274	profēteias	προφητεια	prediction (scriptural or other)	1074	(2, 7, 13)	(2, 3, 179)	(901, 1802, 736, 2207, 570, 2849, 520, 3121, 787, 2061, 406, 4002)	(759, 1519, 620, 1860, 480, 2402, 438, 2631, 664, 1738, 342, 3374)	1:3, 11:6, 19:10, 22:7, 22:10, 22:18, 22:19
τηρουντες	G5083	V-PAP-NPM	1433	tērountes	τηρεω	perhaps akin to G2334 (τηρέω)); to guard (from loss or injury, properly, by keeping the eye upon; and thus differing from G5442 (τηρέω), which is properly to prevent escaping; and from G2892 (τηρέω), which implies a fortress or full military lines of apparatus), i.e. to note (a prophecy; figuratively, to fulfil a command); by implication, to detain (in custody; figuratively, to maintain); by extension, to withhold (for personal ends; figuratively, to keep unmarried); by extension, to withhold (for personal ends; figuratively, to keep unmarried)	1213	(1433,)	(1213,)	(1013, 2027, 827, 2482, 641, 3204, 585, 3510, 886, 2319, 456, 4502)	(858, 1715, 700, 2101, 542, 2712, 495, 2971, 750, 1963, 386, 3811)	1:3, 14:12
γεγραμμενα	G1125	V-RPP-APN	248	gegrammena	γραφω	"to ""grave"", especially to write; figuratively, to describe"	1404	(2, 31)	(2, 3, 13)	(175, 351, 143, 430, 111, 555, 101, 607, 153, 401, 79, 779)	(993, 1986, 811, 2432, 628, 3139, 573, 3439, 868, 2272, 447, 4411)	1:3
καιρος	G2540	N-NSM	401	kairos	καιρος	an occasion, i.e. set or proper time	401	(401,)	(401,)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	(284, 567, 232, 695, 179, 897, 164, 982, 248, 649, 128, 1260)	1:3, 11:18, 22:10
εγγυς	G1451	ADV	611	eggus	εγγυς	akin to the base of G43 (ἐγγύς)); near (literally or figuratively, of place or time)	611	(13, 47)	(13, 47)	(432, 864, 353, 1058, 273, 1366, 249, 1497, 378, 989, 194, 1920)	(432, 864, 353, 1058, 273, 1366, 249, 1497, 378, 989, 194, 1920)	1:3, 22:10
ιωαννης	G2491	N-NSM	1119	iōannēs	Ιωαννης	Joannes (i.e. Jochanan), the name of four Israelites	1119	(3, 373)	(3, 373)	(791, 1583, 646, 1938, 500, 2502, 457, 2741, 692, 1811, 356, 3515)	(791, 1583, 646, 1938, 500, 2502, 457, 2741, 692, 1811, 356, 3515)	1:4, 1:9, 21:2, 22:8
επτα	G2033	A-NUI	386	epta	επτα	seven	386	(2, 193)	(2, 193)	(273, 546, 223, 669, 173, 863, 158, 946, 239, 625, 123, 1213)	(273, 546, 223, 669, 173, 863, 158, 946, 239, 625, 123, 1213)	1:4, 1:12, 1:13, 1:16, 1:20, 2:1, 3:1, 4:5, 5:1, 5:5, 5:6, 8:2, 8:6, 10:3, 10:4, 11:13, 12:3, 13:1, 15:1, 15:6, 15:7, 15:8, 16:1, 17:1, 17:3, 17:7, 17:9, 17:10, 17:11, 21:9
εκκλησιαις	G1577	N-DPF	504	ekklēsiais	εκκλησια	a calling out, i.e. (concretely) a popular meeting, especially a religious congregation (Jewish synagogue, or Christian community of members on earth or saints in heaven or both)	294	(2, 3, 7)	(2, 3, 7)	(356, 713, 291, 873, 225, 1127, 206, 1235, 311, 815, 160, 1583)	(208, 416, 170, 509, 131, 657, 120, 720, 182, 476, 94, 924)	1:4, 1:11, 2:7, 2:11, 2:17, 2:29, 3:6, 3:13, 3:22, 22:16
ασια	G773	N-DSF	212	asia	Ασια	Asia, i.e. Asia Minor, or (usually) only its western shore	212	(2, 53)	(2, 53)	(150, 300, 122, 367, 95, 474, 87, 519, 131, 343, 67, 666)	(150, 300, 122, 367, 95, 474, 87, 519, 131, 343, 67, 666)	1:4, 1:11
χαρις	G5485	N-NSF	911	xaris	χαρις	graciousness (as gratifying), of manner or act (abstract or concrete; literal, figurative or spiritual; especially the divine influence upon the heart, and its reflection in the life; including gratitude)	911	(911,)	(911,)	(644, 1288, 526, 1578, 407, 2037, 372, 2231, 563, 1474, 290, 2862)	(644, 1288, 526, 1578, 407, 2037, 372, 2231, 563, 1474, 290, 2862)	1:4, 22:21
ειρηνη	G1515	N-NSF	181	eirēnē	ειρηνη	peace (literally or figuratively); by implication, prosperity	181	(181,)	(181,)	(128, 256, 105, 314, 81, 405, 74, 443, 112, 293, 58, 569)	(128, 256, 105, 314, 81, 405, 74, 443, 112, 293, 58, 569)	1:4
ην	G2258	V-IXI-3S	58	ēn	ην	I (thou, etc.) was (wast or were)	58	(2, 29)	(2, 29)	(41, 82, 33, 100, 26, 130, 24, 142, 36, 94, 18, 182)	(41, 82, 33, 100, 26, 130, 24, 142, 36, 94, 18, 182)	1:1, 1:4, 1:8, 4:1, 4:3, 4:8, 6:9, 9:10, 10:8, 10:10, 11:17, 13:2, 16:5, 17:8, 17:11, 17:18, 21:18, 21:21
ερχομενος	G2064	V-PNP-NSM	1140	erxomenos	ερχομαι	to come or go (in a great variety of applications, literally and figuratively)	826	(2, 3, 5, 19)	(2, 7, 59)	(806, 1612, 658, 1975, 510, 2549, 465, 2792, 705, 1845, 363, 3581)	(584, 1168, 477, 1431, 369, 1847, 337, 2023, 510, 1336, 263, 2595)	1:4, 1:8, 4:8, 11:17
επτα	G2033	A-NUI	386	epta	επτα	seven	386	(2, 193)	(2, 193)	(273, 546, 223, 669, 173, 863, 158, 946, 239, 625, 123, 1213)	(273, 546, 223, 669, 173, 863, 158, 946, 239, 625, 123, 1213)	1:4, 1:12, 1:13, 1:16, 1:20, 2:1, 3:1, 4:5, 5:1, 5:5, 5:6, 8:2, 8:6, 10:3, 10:4, 11:13, 12:3, 13:1, 15:1, 15:6, 15:7, 15:8, 16:1, 17:1, 17:3, 17:7, 17:9, 17:10, 17:11, 21:9
πνευματων	G4151	N-GPN	1726	pneumatōn	πνευμα	a current of air, i.e. breath (blast) or a breeze; by analogy or figuratively, a spirit, i.e. (human) the rational soul, (by implication) vital principle, mental disposition, etc., or (superhuman) an angel, demon, or (divine) God, Christ's spirit, the Holy Spirit	576	(2, 863)	(2, 3)	(1220, 2441, 997, 2990, 772, 3859, 705, 4228, 1067, 2793, 549, 5422)	(407, 815, 333, 998, 258, 1288, 235, 1411, 356, 932, 183, 1810)	1:4
α	G1	N-LI	1	a	αν	the first letter of the alphabet; figuratively, only (from its use as a numeral) the first: 	51	(1,)	(3, 17)	(1, 1, 1, 2, 0, 2, 0, 2, 1, 2, 0, 3)	(36, 72, 29, 88, 23, 114, 21, 125, 32, 83, 16, 160)	1:1, 1:4, 1:8, 1:11, 1:19, 2:6, 2:10, 3:2, 3:4, 4:1, 5:13, 9:20, 10:4, 13:14, 17:12, 17:15, 17:16, 21:6, 21:12, 22:6, 22:13
εστιν	G2076	V-PXI-3S	565	estin	εστι	he (she or it) is; also (with neuter plural) they are	515	(5, 113)	(5, 103)	(400, 799, 326, 979, 253, 1263, 231, 1384, 349, 914, 180, 1775)	(364, 728, 297, 892, 230, 1152, 210, 1261, 318, 833, 164, 1618)	1:4, 2:7, 5:2, 5:12, 5:13, 13:10, 13:18, 14:12, 16:21, 17:8, 17:10, 17:11, 17:14, 17:18, 19:8, 19:10, 20:2, 20:12, 20:14, 21:1, 21:8, 21:12, 21:16, 21:17, 21:22, 22:10
ενωπιον	G1799	ADV	1065	enōpion	ενωπιον	in the face of (literally or figuratively)	1065	(3, 5, 71)	(3, 5, 71)	(753, 1506, 615, 1845, 476, 2381, 435, 2609, 658, 1723, 339, 3346)	(753, 1506, 615, 1845, 476, 2381, 435, 2609, 658, 1723, 339, 3346)	1:4, 2:14, 3:2, 3:5, 3:8, 3:9, 4:5, 4:6, 4:10, 5:8, 7:9, 7:11, 7:15, 8:2, 8:3, 8:4, 9:13, 11:4, 11:16, 12:4, 12:10, 13:12, 13:13, 13:14, 14:3, 14:5, 14:10, 15:4, 16:19, 19:20, 20:12
θρονου	G2362	N-GSM	699	thronou	θρονος	"a stately seat (""throne""); by implication, power or (concretely) a potentate"	499	(3, 233)	(499,)	(494, 989, 404, 1211, 313, 1563, 285, 1712, 432, 1131, 222, 2196)	(353, 706, 288, 864, 223, 1116, 204, 1222, 308, 807, 159, 1568)	1:4, 4:2, 4:3, 4:4, 4:5, 4:6, 4:9, 4:10, 5:1, 5:6, 5:7, 5:11, 5:13, 6:16, 7:9, 7:10, 7:11, 7:15, 7:17, 8:3, 14:3, 14:5, 16:17, 19:4, 19:5, 21:5, 22:1
ιησου	G2424	N-GSM	688	iēsou	Ιησους	Jesus (i.e. Jehoshua), the name of our Lord and two (three) other Israelites	888	(2, 43)	(2, 3, 37)	(486, 973, 397, 1192, 308, 1538, 281, 1685, 425, 1113, 219, 2161)	(628, 1256, 513, 1538, 397, 1986, 363, 2175, 549, 1437, 283, 2790)	1:1, 1:2, 1:5, 1:9, 12:17, 14:12, 17:6, 19:10, 20:4, 22:20, 22:21
χριστου	G5547	N-GSM	1680	xristou	Χριστος	anointed, i.e. the Messiah, an epithet of Jesus	1480	(2, 3, 5, 7)	(2, 5, 37)	(1188, 2376, 970, 2910, 751, 3757, 686, 4115, 1038, 2718, 535, 5278)	(1047, 2093, 854, 2563, 662, 3309, 604, 3625, 915, 2395, 471, 4650)	1:1, 1:2, 1:5, 1:9, 11:15, 12:10, 12:17, 20:4, 20:6, 22:21
μαρτυς	G3144	N-NSM	1041	martus	μαρτυς	"a witness (literally (judicially) or figuratively (genitive case)); by analogy, a ""martyr"""	1041	(3, 347)	(3, 347)	(736, 1472, 601, 1803, 466, 2328, 425, 2550, 643, 1684, 331, 3270)	(736, 1472, 601, 1803, 466, 2328, 425, 2550, 643, 1684, 331, 3270)	1:5, 2:13, 3:14
πιστος	G4103	A-NSM	860	pistos	πιστος	objectively, trustworthy; subjectively, trustful	860	(2, 5, 43)	(2, 5, 43)	(608, 1216, 497, 1490, 385, 1923, 351, 2107, 532, 1392, 274, 2702)	(608, 1216, 497, 1490, 385, 1923, 351, 2107, 532, 1392, 274, 2702)	1:5, 2:10, 2:13, 3:14, 19:11
πρωτοτοκος	G4416	A-NSM	2010	prōtotokos	πρωτοτοκος	first-born (usually as noun, literally or figuratively)	2010	(2, 3, 5, 67)	(2, 3, 5, 67)	(1421, 2843, 1160, 3481, 899, 4494, 821, 4923, 1242, 3252, 640, 6315)	(1421, 2843, 1160, 3481, 899, 4494, 821, 4923, 1242, 3252, 640, 6315)	1:5
νεκρων	G3498	A-GPM	1025	nekrōn	νεκρος	dead (literally or figuratively; also as noun)	445	(5, 41)	(5, 89)	(725, 1450, 592, 1775, 458, 2292, 418, 2511, 633, 1658, 326, 3220)	(315, 629, 257, 771, 199, 995, 182, 1090, 275, 720, 142, 1398)	1:5, 11:18, 20:5
αρχων	G758	N-NSM	1551	arxōn	αρχων	a first (in rank or power)	1551	(3, 11, 47)	(3, 11, 47)	(1097, 2193, 895, 2686, 694, 3468, 633, 3799, 959, 2510, 494, 4873)	(1097, 2193, 895, 2686, 694, 3468, 633, 3799, 959, 2510, 494, 4873)	1:5
βασιλεων	G935	N-GPM	1098	basileōn	βασιλευς	a sovereign (abstractly, relatively, or figuratively)	848	(2, 3, 61)	(2, 53)	(776, 1553, 634, 1902, 491, 2455, 448, 2690, 679, 1777, 350, 3449)	(600, 1199, 490, 1469, 379, 1896, 346, 2077, 524, 1372, 270, 2664)	1:5, 16:12, 17:14, 17:18, 19:16, 19:18
γης	G1093	N-GSF	211	gēs	γη	soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application)	11	(211,)	(11,)	(149, 298, 122, 365, 94, 472, 86, 517, 130, 341, 67, 663)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	1:5, 1:7, 3:10, 5:3, 5:10, 5:13, 6:4, 6:8, 6:10, 6:15, 7:1, 8:13, 9:3, 9:4, 10:5, 10:8, 11:4, 11:10, 13:8, 13:11, 13:14, 14:3, 14:6, 14:15, 14:18, 14:19, 16:14, 16:18, 17:2, 17:5, 17:8, 17:18, 18:3, 18:9, 18:11, 18:23, 18:24, 19:19, 20:8, 20:9, 21:24
αγαπησαντι	G25	V-AAP-DSM	654	agapēsanti	αγαπαω	to love (in a social or moral sense)	886	(2, 3, 109)	(2, 443)	(462, 925, 378, 1133, 292, 1462, 267, 1602, 404, 1058, 208, 2055)	(626, 1253, 512, 1535, 396, 1981, 362, 2170, 548, 1434, 282, 2783)	1:5
λουσαντι	G3068	V-AAP-DSM	1061	lousanti	λουω	to bathe (the whole person; whereas G3538 (λούω) means to wet a part only, and G4150 (λούω) to wash, cleanse garments exclusively)	1300	(1061,)	(2, 5, 13)	(750, 1500, 613, 1838, 474, 2372, 433, 2599, 656, 1717, 338, 3333)	(919, 1838, 751, 2252, 581, 2907, 531, 3184, 803, 2103, 414, 4084)	1:5
αμαρτιων	G266	N-GPF	1302	amartiōn	αμαρτια	a sin (properly abstract)	453	(2, 3, 7, 31)	(3, 151)	(921, 1841, 752, 2255, 582, 2911, 532, 3189, 805, 2107, 414, 4090)	(320, 641, 262, 785, 203, 1013, 185, 1110, 280, 733, 144, 1423)	1:5
αιματι	G129	N-DSN	362	aimati	αιμα	blood, literally (of men or animals), figuratively (the juice of grapes) or specially (the atoning blood of Christ); by implication, bloodshed, also kindred	52	(2, 181)	(2, 13)	(256, 512, 209, 627, 162, 809, 148, 887, 224, 586, 115, 1137)	(37, 74, 30, 90, 23, 116, 21, 127, 32, 84, 17, 163)	1:5, 5:9, 7:14, 8:7, 19:13
εποιησεν	G4160	V-AAI-3S	428	epoiēsen	ποιεω	to make or do (in a very wide application, more or less direct)	965	(2, 107)	(5, 193)	(303, 605, 247, 741, 191, 957, 175, 1048, 265, 693, 136, 1345)	(682, 1365, 557, 1671, 432, 2158, 394, 2364, 596, 1561, 307, 3032)	1:6
βασιλεις	G935	N-NPM	458	basileis	βασιλευς	a sovereign (abstractly, relatively, or figuratively)	848	(2, 229)	(2, 53)	(324, 648, 264, 793, 205, 1024, 187, 1122, 283, 741, 146, 1439)	(600, 1199, 490, 1469, 379, 1896, 346, 2077, 524, 1372, 270, 2664)	1:6, 5:10, 6:15, 16:14, 17:2, 17:10, 17:12, 18:3, 18:9, 19:19, 21:24
ιερεις	G2409	N-NPM	330	iereis	ιερευς	a priest (literally or figuratively)	720	(2, 3, 5, 11)	(2, 3, 5)	(233, 467, 191, 572, 148, 738, 135, 808, 204, 534, 105, 1037)	(509, 1018, 416, 1247, 322, 1610, 294, 1764, 445, 1165, 229, 2262)	1:6, 5:10, 20:6
θεω	G2316	N-DSM	814	theō	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11, 37)	(2, 71)	(576, 1151, 470, 1410, 364, 1820, 332, 1994, 503, 1317, 259, 2557)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:6, 5:9, 5:10, 7:11, 7:12, 11:13, 11:16, 14:4, 19:1, 19:4, 19:10, 22:9
πατρι	G3962	N-DSM	491	patri	πατηρ	"a ""father"" (literally or figuratively, near or more remote)"	489	(491,)	(3, 163)	(347, 694, 283, 850, 220, 1098, 200, 1203, 303, 794, 156, 1543)	(346, 692, 282, 847, 219, 1093, 200, 1198, 302, 791, 156, 1536)	1:6
δοξα	G1391	N-NSF	135	doca	δοξα	glory (as very apparent), in a wide application (literal or figurative, objective or subjective)	135	(3, 5)	(3, 5)	(95, 191, 78, 234, 60, 302, 55, 331, 83, 218, 43, 424)	(95, 191, 78, 234, 60, 302, 55, 331, 83, 218, 43, 424)	1:6, 5:13, 7:12, 19:1, 21:23
κρατος	G2904	N-NSN	691	kratos	κρατος	"vigor (""great"") (literally or figuratively)"	691	(691,)	(691,)	(489, 977, 399, 1197, 309, 1545, 282, 1693, 427, 1118, 220, 2171)	(489, 977, 399, 1197, 309, 1545, 282, 1693, 427, 1118, 220, 2171)	1:6, 5:13
αιωνας	G165	N-APM	1062	aiōnas	αιων	properly, an age; by extension, perpetuity (also past); by implication, the world; specially (Jewish) a Messianic period (present or future)	861	(2, 3, 59)	(3, 7, 41)	(751, 1502, 613, 1839, 475, 2375, 434, 2601, 656, 1718, 338, 3336)	(609, 1218, 497, 1491, 385, 1925, 352, 2109, 532, 1393, 274, 2705)	1:6, 1:18, 4:9, 4:10, 5:13, 5:14, 7:12, 10:6, 11:15, 14:11, 15:7, 19:3, 20:10, 22:5
