lemma	word	translation
G3094	Μαγδαληνή	a female Magdalene, i.e. inhabitant of Magdala
G4263	πρόβατον	something that walks forward (a quadruped), i.e. (specially), a sheep (literally or figuratively)
G412	ἀνεκλάλητος	not spoken out, i.e. (by implication) unutterable
G5297	ὑποφέρω	to bear from underneath, i.e. (figuratively) to undergo hardship
G405	ἀνδραποδιστής	an enslaver (as bringing men to his feet)
G4047	περιποίησις	acquisition (the act or the thing); by extension, preservation
G5126	τοῦτον	this (person, as objective of verb or preposition)
G1555	ἐκδιηγέομαι	to narrate through wholly
G702	Ἀρέτας	Aretas, an Arabian
G3425	μόγις	with difficulty
G3085	λύτρωσις	a ransoming (figuratively)
G1147	δάκτυλος	a finger
G4963	συστροφή	a twisting together, i.e. (figuratively) a secret coalition, riotous crowd
G5606	ὦμος	the shoulder (as that on which burdens are borne)
G4785	συγκαταψηφίζω	to count down in company with, i.e. enroll among
G5463	χαίρω	to be "cheer"ful, i.e. calmly happy or well-off; impersonally, especially as salutation (on meeting or parting), be well
G1880	ἐπανέρχομαι	to come up on, i.e. return
G1510	εἰμί	I exist (used only when emphatic)
G1018	βραβεύω	to arbitrate, i.e. (genitive case) to govern (figuratively, prevail)
G4107	πλανήτης	a rover ("planet"), i.e. (figuratively) an erratic teacher
G4696	σπίλος	a stain or blemish, i.e. (figuratively) defect, disgrace
G2630	κατακρημνίζω	to precipitate down
G1206	δευτεραῖος	secondary, i.e. (specially) on the second day
G798	ἄστρον	properly, a constellation; put for a single star (natural or artificial)
G3440	μόνον	merely
G5048	τελειόω	to complete, i.e. (literally) accomplish, or (figuratively) consummate (in character)
G3431	μοιχεύω	to commit adultery
G1054	Γαλατικός	Galatic or relating to Galatia
G42	ἁγιωσύνη	sacredness (i.e. properly, the quality)
G2288	θάνατος	(properly, an adjective used as a noun) death (literally or figuratively)
G3634	οἷος	such or what sort of (as a correlation or exclamation); especially the neuter (adverbially) with negative, not so
G3977	πεδινός	level (as easy for the feet)
G972	βίαιος	violent
G2059	ἑρμηνεύω	to translate
G804	ἀσφαλής	secure (literally or figuratively)
G3993	πένης	starving, i.e. indigent
G3822	παλαιόω	to make (passively, become) worn out, or declare obsolete
G1021	βραδύς	slow; figuratively, dull
G3407	μίσθιος	a wage-earner
G5079	τεχνίτης	an artisan; figuratively, a founder (Creator)
G5193	ὑάλινος	glassy, i.e. transparent
G566	ἀπέχει	it is sufficient
G1251	διακούομαι	to hear throughout, i.e. patiently listen (to a prisoner's plea)
G4620	σιτόμετρον	a grain-measure, i.e. (by implication) ration (allowance of food)
G5510	χιών	snow
G2706	καταφρονέω	to think against, i.e. disesteem
G2750	κειρία	a swathe, i.e. winding-sheet
G5411	φόρος	a load (as borne), i.e. (figuratively) a tax (properly, an individual assessment on persons or property; whereas G5056 (φόρος) is usually a general toll on goods or travel)
G1012	βουλή	volition, i.e. (objectively) advice, or (by implication) purpose
G3416	Μνάσων	Mnason, a Christian
G419	ἀνεξερεύνητος	not searched out, i.e. (by implication) inscrutable
G5314	φάγος	a glutton
G4157	πνοή	respiration, a breeze
G783	ἀσπασμός	a greeting (in person or by letter)
G227	ἀληθής	true (as not concealing)
G776	ἀσιτία	fasting (the state)
G5487	χαριτόω	to grace, i.e. indue with special honor
G4778	συγκακουχέω	to maltreat in company with, i.e. (passively) endure persecution together
G1679	ἐλπίζω	to expect or confide
G4844	συμπίνω	to partake a beverage in company
G66	ἄγριος	wild (as pertaining to the country), literally (natural) or figuratively (fierce)
G1875	ἐπάν	a particle of indefinite contemporaneousness; whenever, as soon as
G1348	δικαστής	a judger
G4174	πολιτεία	citizenship; concretely, a community
G1019	βραδύνω	to delay
G3371	μηκέτι	no further
G1815	ἐξανάστασις	a rising from death
G2991	λαξευτός	rock-quarried
G2362	θρόνος	a stately seat ("throne"); by implication, power or (concretely) a potentate
G1459	ἐγκαταλείπω	to leave behind in some place, i.e. (in a good sense) let remain over, or (in a bad sense) to desert
G965	Βηθλεέμ	Bethleem (i.e. Beth-lechem), a place in Palestine
G4166	ποιμήν	a shepherd (literally or figuratively)
G44	ἄγκιστρον	a hook (as bent)
G3640	ὀλιγόπιστος	incredulous, i.e. lacking confidence (in Christ)
G1994	ἐπιστρέφω	to revert (literally, figuratively or morally)
G1043	Γαβριήλ	Gabriel, an archangel
G3082	Λύστρα	Lystra, a place in Asia Minor
G977	βιβρώσκω	to eat
G733	ἀρσενοκοίτης	a sodomite
G5342	φέρω	to "bear" or carry (in a very wide application, literally and figuratively, as follows)
G2643	καταλλαγή	exchange (figuratively, adjustment), i.e. restoration to (the divine) favor
G4385	προτείνω	to protend, i.e. tie prostrate (for scourging)
G2931	κρυφῆ	privately
G379	ἀναπολόγητος	indefensible
G150	αἰσχρός	shameful, i.e. base (specially, venal)
G4606	Σιδώνιος	a Sidonian, i.e. inhabitant of Sidon
G4233	πράκτωρ	a practiser, i.e. (specially), an official collector
G5448	φυσιόω	to inflate, i.e. (figuratively) make proud (haughty)
G4719	στάχυς	a head of grain (as standing out from the stalk)
G3357	μετρίως	moderately, i.e. slightly
G82	ἄδηλος	hidden, figuratively, indistinct
G188	ἀκμήν	adverbially, just now, i.e. still
G2780	κηπουρός	a garden-keeper, i.e. gardener
G1041	βωμός	properly, a stand, i.e. (specially) an altar
G1418	δυσ	used only in composition as a prefix; hard, i.e. with difficulty
G3959	Πάταρα	Patara, a place in Asia Minor
G303	ἀνά	properly, up; but (by extension) used (distributively) severally, or (locally) at (etc.)
G1664	Ἐλιούδ	God of majesty; Eliud, an Israelite
G470	ἀνταποκρίνομαι	to contradict or dispute
G763	ἀσέβεια	impiety, i.e. (by implication) wickedness
G3198	Μελχισεδέκ	Melchisedek (i.e. Malkitsedek), a patriarch
G3581	ξένος	foreign (literally, alien, or figuratively, novel); by implication, a guest or (vice-versa) entertainer
G89	ἀδιαλείπτως	uninterruptedly, i.e. without omission (on an appropriate occasion)
G652	ἀπόστολος	a delegate; specially, an ambassador of the Gospel; officially a commissioner of Christ ("apostle") (with miraculous powers)
G890	ἄχρηστος	inefficient, i.e. (by implication) detrimental
G3419	μνημεῖον	a remembrance, i.e. cenotaph (place of interment)
G3585	ξύλινος	wooden
G4344	προσκεφάλαιον	something for the head, i.e. a cushion
G3876	παρακοή	inattention, i.e. (by implication) disobedience
G4565	Σάρων	Saron (i.e. Sharon), a district of Palestine
G443	ἀνθρωποκτόνος	a manslayer
G631	ἀπομάσσομαι	to scrape away
G5431	φροντίζω	to exercise thought, i.e. be anxious
G3539	νοιέω	to exercise the mind (observe), i.e. (figuratively) to comprehend, heed
G2005	ἐπιτελέω	to fulfill further (or completely), i.e. execute; by implication, to terminate, undergo
G3814	παιδίσκη	a girl, i.e. (specially), a female slave or servant
G336	ἀναίρεσις	(the act of) killing
G452	Ἄννας	Annas (i.e. G367 (Ἄννας)), an Israelite
G1729	ἐνδεής	deficient in
G3366	μηδέ	but not, not even; in a continued negation, nor
G1084	γεννητός	born
G2712	κατείδωλος	utterly idolatrous
G449	ἄνιπτος	without ablution
G1689	ἐμβλέπω	to look on, i.e. (relatively) to observe fixedly, or (absolutely) to discern clearly
G749	ἀρχιερεύς	the high-priest (literally, of the Jews, typically, Christ); by extension a chief priest
G5272	ὑπόκρισις	acting under a feigned part, i.e. (figuratively) deceit ("hypocrisy")
G479	ἀντικαλέω	to invite in return
G4223	Ποτίολοι	little wells, i.e. mineral springs; Potioli (i.e. Puteoli), a place in Italy
G323	ἀνάδειξις	(the act of) exhibition
G5599	ὦ	as a sign of the vocative case, O; as a note of exclamation, oh
G30	ἀγγεῖον	compare the base of G43 (ἀγγεῖον)); a receptacle
G1647	ἐλαχιστότερος	far less
G4612	σιμικίνθιον	a semicinctium or half-girding, i.e. narrow covering (apron)
G4616	σινδών	byssos, i.e. bleached linen (the cloth or a garment of it)
G5089	τίλλω	to pull off
G5500	χειροτονέω	to be a hand-reacher or voter (by raising the hand), i.e. (generally) to select or appoint
G4732	στερεόω	to solidify, i.e. confirm (literally or figuratively)
G3858	παραδέχομαι	to accept near, i.e. admit or (by implication) delight in
G4457	πώρωσις	stupidity or callousness
G4144	πλόος	a sail, i.e. navigation
G2113	εὐθυδρομέω	to lay a straight course, i.e. sail direct
G630	ἀπολύω	to free fully, i.e. (literally) relieve, release, dismiss (reflexively, depart), or (figuratively) let die, pardon or (specially) divorce
G1672	Ἕλλην	a Hellen (Grecian) or inhabitant of Hellas; by extension a Greek-speaking person, especially a non-Jew
G1903	ἐπενδύτης	a wrapper, i.e. outer garment
G3678	ὀνάριον	a little ass
G5217	ὑπάγω	to lead (oneself) under, i.e. withdraw or retire (as if sinking out of sight), literally or figuratively
G5151	τρίς	three times
G1584	ἐκλάμπω	to be resplendent
G723	ἄροτρον	a plow
G5306	ὕστερος	later
G3399	Μίλητος	Miletus, a city of Asia Minor
G3173	μέγας	big (literally or figuratively, in a very wide application)
G3114	μακροθυμέω	to be long-spirited, i.e. (objectively) forbearing or (subjectively) patient
G926	βαρύς	weighty, i.e. (fig) burdensome, grave
G5175	Τρωγύλλιον	Trogyllium, a place in Asia Minor
G4721	στέγη	a roof
G2738	καῦμα	properly, a burn (concretely), but used (abstractly) of a glow
G3372	μῆκος	length (literally or figuratively) length. 
G2669	καταπονέω	to labor down, i.e. wear with toil (figuratively, harass)
G4980	σχολάζω	to take a holiday, i.e. be at leisure for (by implication, devote oneself wholly to); figuratively, to be vacant (of a house)
G2375	θυρεός	a large shield (as door-shaped)
G193	ἀκρατής	powerless, i.e. without self-control
G2670	καταποντίζω	to plunge down, i.e. submerge
G5184	Τύρος	Tyrus, a place in Palestine
G3683	Ὀνησίφορος	profit-bearer; Onesiphorus, a Christian
G1422	δύσκολος	properly, fastidious about eating (peevish), i.e. (genitive case) impracticable
G1983	ἐπισκοπέω	to oversee; by implication, to beware
G1378	δόγμα	a law (civil, ceremonial or ecclesiastical)
G2881	Κορίνθιος	a Corinthian, i.e. inhabitant of Corinth
G424	ἀνέρχομαι	to ascend
G2306	θειώδης	sulphur-like, i.e. sulphurous
G2153	εὐσεβῶς	piously
G2455	Ἰούδας	Judas (i.e. Jehudah), the name of ten Israelites; also of the posterity of one of them and its region
G1375	διωγμός	persecution
G3185	μεῖζον	(adverbially) in greater degree
G2745	καύχημα	a boast (properly, the object; by implication, the act) in a good or a bad sense
G2101	εὐάρεστος	fully agreeable
G5470	χάλκεος	coppery
G5555	χρυσόλιθος	gold-stone, i.e. a yellow gem ("chrysolite")
G1240	διάδοχος	a successor in office
G2850	κολακεία	flattery
G5491	χεῖλος	a lip (as a pouring place); figuratively, a margin (of water)
G4460	Ῥαάβ	Raab (i.e. Rachab), a Canaanitess
G3498	νεκρός	dead (literally or figuratively; also as noun)
G544	ἀπειθέω	to disbelieve (wilfully and perversely)
G4797	συγχύνω	to commingle promiscuously, i.e. (figuratively) to throw (an assembly) into disorder, to perplex (the mind)
G739	ἄρτιος	fresh, i.e. (by implication) complete
G2790	κιθαρῳδός	a lyre-singer(-player), i.e. harpist
G4880	συναποθνήσκω	to decease (literally) in company with, or (figuratively), similarly to
G3869	παρακαθίζω	to sit down near
G5507	χίλιοι	a thousand
G1798	ἐνύπνιον	something seen in sleep, i.e. a dream (vision in a dream)
G3000	λατρεύω	to minister (to God), i.e. render religious homage
G699	ἀρεσκεία	complaisance
G2235	ἤδη	even now
G4073	πέτρα	a (mass of) rock (literally or figuratively)
G2551	κακολογέω	to revile
G1823	ἐξαστράπτω	to lighten forth, i.e. (figuratively) to be radiant (of very white garments)
G812	ἀτακτέω	to be (i.e. act) irregular
G2409	ἱερεύς	a priest (literally or figuratively)
G90	ἀδιαφθορία	incorruptibleness, i.e. (figuratively) purity (of doctrine)
G1545	ἔκβασις	an exit (literally or figuratively)
G4479	Ῥεβέκκα	Rebecca (i.e. Ribkah), the wife of Isaac
G864	ἀφικνέομαι	to go (i.e. spread) forth (by rumor)
G5092	τιμή	a value, i.e. money paid, or (concretely and collectively) valuables; by analogy, esteem (especially of the highest degree), or the dignity itself
G279	ἀμετανόητος	unrepentant
G1736	ἐνδημέω	to be in one's own country, i.e. home (figuratively)
G5622	ὠφέλεια	usefulness, i.e. benefit
G2430	Ἰκόνιον	image-like; Iconium, a place in Asia Minor
G223	Ἀλέξανδρος	man-defender; Alexander, the name of three Israelites and one other man
G4427	πτύσμα	saliva
G2015	ἐπιφάνεια	a manifestation, i.e. (specially) the advent of Christ (past or future)
G396	ἀνατρέπω	to overturn (figuratively)
G1169	δειλός	timid, i.e. (by implication) faithless
G2565	καλλιέλαιος	a cultivated olive tree, i.e. a domesticated or improved one
G5145	τριακόσιοι	three hundred
G4660	σκύλλω	to flay, i.e. (figuratively) to harass
G5149	τρίζω	to creak (squeak), i.e. (by analogy) to grate the teeth (in frenzy)
G5082	τηλικαύτη	such as this, i.e. (in (figurative) magnitude) so vast
G5047	τελειότης	(the state) completeness (mentally or morally)
G4050	περισσεία	surplusage, i.e. superabundance
G4516	Ῥώμη	strength; Roma, the capital of Italy
G3745	ὅσος	as (much, great, long, etc.) as
G2041	ἔργον	toil (as an effort or occupation); by implication, an act
G648	ἀποστεγάζω	to unroof
G159	αἴτιος	causative, i.e. (concretely) a causer
G3894	παραπικρασμός	irritation
G2412	ἱεροπρεπής	reverent
G5258	ὕπνος	sleep, i.e. (figuratively) spiritual torpor
G2648	καταμανθάνω	to learn thoroughly, i.e. (by implication) to note carefully
G4019	περιδέω	to bind around one, i.e. enwrap
G5413	φορτίον	an invoice (as part of freight), i.e. (figuratively) a task or service
G2208	Ζηλωτής	a Zealot, i.e. (specially) partisan for Jewish political independence
G1933	ἐπιεικής	appropriate, i.e. (by implication) mild
G5349	φθαρτός	decayed, i.e. (by implication) perishable
G1327	διέξοδος	an outlet through, i.e. probably an open square (from which roads diverge)
G5344	Φῆλιξ	happy; Phelix (i.e. Felix), a Roman
G2343	θησαυρίζω	to amass or reserve (literally or figuratively)
G3728	ὁρκωμοσία	asseveration on oath
G311	ἀναβολή	a putting off
G4084	πιάζω	to squeeze, i.e. seize (gently by the hand (press), or officially (arrest), or in hunting (capture))
G5036	ταχύς	fleet, i.e. (figuratively) prompt or ready
G4041	περιούσιος	being beyond usual, i.e. special (one's own)
G204	ἀκρογωνιαῖος	belonging to the extreme corner
G2679	κατασκάπτω	to undermine, i.e. (by implication) destroy
G4288	προθυμία	predisposition, i.e. alacrity
G4906	συνεσθίω	to take food in company with
G5364	φιλανθρώπως	fondly to man ("philanthropically"), i.e. humanely
G2074	Ἐσρώμ	Esrom (i.e. Chetsron), an Israelite
G4245	πρεσβύτερος	older; as noun, a senior; specially, an Israelite Sanhedrist (also figuratively, member of the celestial council) or Christian "presbyter"
G4645	σκληρύνω	to indurate, i.e. (figuratively) render stubborn
G5054	τελευτή	decease
G581	ἀπογενόμενος	absent, i.e. deceased (figuratively, renounced)
G904	Βαλάκ	Balak, a Moabite
G1115	Γολγοθᾶ	the skull; Golgotha, a knoll near Jerusalem
G3076	λυπέω	to distress; reflexively or passively, to be sad
G59	ἀγοράζω	properly, to go to market, i.e. (by implication) to purchase; specially, to redeem
G5022	ταῦρος	a bullock
G4728	στενός	narrow (from obstacles standing close about)
G3626	οἰκουρός	be "ware"); a stayer at home, i.e. domestically inclined (a "good housekeeper")
G577	ἀποβάλλω	to throw off; figuratively, to lose
G791	ἀστεῖος	urbane, i.e. (by implication) handsome
G2416	ἱεροσυλέω	to be a temple-robber (figuratively)
G3807	παιδαγωγός	a boy-leader, i.e. a servant whose office it was to take the children to school; (by implication, (figuratively) a tutor ("pædagogue"))
G460	ἀνόμως	lawlessly, i.e. (specially) not amenable to (the Jewish) law
G112	ἄθεος	godless
G2606	καταγελάω	to laugh down, i.e. deride
G1768	ἐννενηκονταεννέα	ninety-nine
G4006	πεποίθησις	reliance
G4917	συνθλάω	to dash together, i.e. shatter
G5169	τρύπημα	an aperture, i.e. a needle's eye
G4543	Σαμοθρᾴκη	Samo-thrace (Samos of Thrace), an island in the Mediterranean
G5321	φανέρωσις	exhibition, i.e. (figuratively) expression, (by extension) a bestowment
G1145	δακρύω	to shed tears
G3968	πατρίς	a father-land, i.e. native town; (figuratively) heavenly home
G1759	ἐνθάδε	properly, within, i.e. (of place) here, hither
G1068	Γεθσημανῆ	oil-press; Gethsemane, a garden near Jerusalem
G4216	ποταμοφόρητος	river-borne, i.e. overwhelmed by a stream
G1641	ἐλαττονέω	to diminish, i.e. fall short
G960	Βέροια	Berœa, a place in Macedonia
G4470	ῥάκος	a "rag," i.e. piece of cloth
G1501	εἴκοσι	a score
G170	ἀκαιρέομαι	to be inopportune (for oneself), i.e. to fail of a proper occasion
G2945	κύκλῳ	akin to G2947 (κύκλῳ)); i.e. in a circle (by implication, of G1722 (κύκλῳ)), i.e. (adverbially) all around
G3313	μέρος	a division or share (literally or figuratively, in a wide application)
G1726	ἐναντίον	(adverbially) in the presence (view) of
G3455	μυκάομαι	to bellow (roar)
G674	ἀποψύχω	to breathe out, i.e. faint
G3907	παρατήρησις	inspection, i.e. ocular evidence
G23	ἀγανακτέω	akin to the base of G43 (ἀγανακτέω)); to be greatly afflicted, i.e. (figuratively) indignant
G4926	συνομιλέω	to converse mutually
G2559	κακόω	to injure; figuratively, to exasperate
G838	αὔξησις	growth
G3793	ὄχλος	a throng (as borne along); by implication, the rabble; by extension, a class of people; figuratively, a riot
G4374	προσφέρω	to bear towards, i.e. lead to, tender (especially to God), treat
G4148	πλουτίζω	to make wealthy (figuratively)
G3903	παρασκευάζω	to furnish aside, i.e. get ready
G1429	δωδεκάφυλον	the commonwealth of Israel
G2757	κενοφωνία	empty sounding, i.e. fruitless discussion
G3334	μετακινέω	to stir to a place elsewhere, i.e. remove (figuratively)
G3911	παραφέρω	to bear along or aside, i.e. carry off (literally or figuratively); by implication, to avert
G1397	δουλεία	slavery (ceremonially or figuratively)
G3759	οὐαί	"woe"
G605	ἀποκατάστασις	reconstitution
G4993	σωφρονέω	to be of sound mind, i.e. sane, (figuratively) moderate
G2480	ἰσχύω	to have (or exercise) force (literally or figuratively)
G2721	κατεφίστημι	to stand over against, i.e. rush upon (assault)
G2507	καθαιρέω	to lower (or with violence) demolish (literally or figuratively)
G4490	ῥητῶς	out-spokenly, i.e. distinctly
G2185	ἐφικνέομαι	to arrive upon, i.e. extend to
G2691	καταστρηνιάω	to become voluptuous against
G3884	παραλογίζομαι	to misreckon, i.e. delude
G278	ἀμεταμέλητος	irrevocable
G5473	χαλκίον	a copper dish
G1176	δέκα	ten
G1073	γέμω	to swell out, i.e. be full
G1302	διατί	through what cause ?, i.e. why?
G1739	ἐνδόμησις	a housing in (residence), i.e. structure
G3752	ὅταν	whenever (implying hypothesis or more or less uncertainty); also causatively (conjunctionally) inasmuch as
G983	βλαβερός	injurious
G5137	τράχηλος	the throat (neck), i.e. (figuratively) life
G2935	κτήτωρ	an owner
G3307	μερίζω	to part, i.e. (literally) to apportion, bestow, share, or (figuratively) to disunite, differ
G3970	πατροπαράδοτος	traditionary
G50	ἀγνοέω	not to know (through lack of information or intelligence); by implication, to ignore (through disinclination)
G4554	Σάρδεις	Sardis, a place in Asia Minor
G5157	τροπή	a turn ("trope"), i.e. revolution (figuratively, variation)
G4386	πρότερον	previously
G3003	λεγεών	a "legion", i.e. Roman regiment (figuratively)
G5030	ταχέως	briefly, i.e. (in time) speedily, or (in manner) rapidly
G3946	παρόμοιος	alike nearly, i.e. similar
G4018	περιβόλαιον	something thrown around one, i.e. a mantle, veil
G4591	σημαίνω	of uncertain derivation); to indicate
G1526	εἰσί	they are
G353	ἀναλαμβάνω	to take up
G1191	Δέρβη	Derbe, a place in Asia Minor
G5012	ταπεινοφροσύνη	humiliation of mind, i.e. modesty
G1536	εἴ τις	if any
G5017	τάραχος	a disturbance, i.e. (popular) tumult
G1388	δόλος	compare G1185 (δόλος)); a trick (bait), i.e. (figuratively) wile
G1968	ἐπιπίπτω	to embrace (with affection) or seize (with more or less violence; literally or figuratively)
G3409	μισθόω	to let out for wages, i.e. (middle voice) to hire
G105	ἀετός	an eagle (from its wind-like flight)
G4230	πραγματεία	a transaction, i.e. negotiation
G144	αἴσθησις	perception, i.e. (figuratively) discernment
G1494	εἰδωλόθυτον	an image-sacrifice, i.e. part of an idolatrous offering
G2921	Κρίσπος	"crisp"; Crispus, a Corinthian
G788	ἆσσον	more nearly, i.e. very near
G2579	κἄν	and (or even) if
G670	ἀποφορτίζομαι	to unload
G738	ἀρτιγέννητος	just born, i.e. (figuratively) a young convert
G4286	πρόθεσις	a setting forth, i.e. (figuratively) proposal (intention); specially, the show-bread (in the Temple) as exposed before God
G888	ἀχρεῖος	useless, i.e. (euphemistically) unmeritorious
G1742	ἔνδυμα	apparel (especially the outer robe)
G329	ἀναζωπυρέω	to re-enkindle
G5326	φάντασμα	(properly concrete) a (mere) show ("phantasm"), i.e. spectre
G5223	ὕπαρξις	existency or proprietorship, i.e. (concretely) property, wealth
G35	ἀγενεαλόγητος	unregistered as to birth
G5434	φρύγανον	akin to the base of G5395 (φρύγανον)); something desiccated, i.e. a dry twig
G1475	ἔδαφος	a basis (bottom), i.e. the soil
G2528	καθοπλίζω	and G3695 (καθοπλίζω); to equip fully with armor
G5264	ὑποδέχομαι	to admit under one's roof, i.e. entertain hospitably
G3777	οὔτε	not too, i.e. neither or nor; by analogy, not even
G1029	βρόχος	a noose
G610	ἀπόκριμα	a judicial decision
G4727	στενάζω	to make (intransitively, be) in straits, i.e. (by implication) to sigh, murmur, pray inaudibly
G3618	οἰκοδομέω	to be a house-builder, i.e. construct or (figuratively) confirm
G1423	δυσκόλως	impracticably
G5408	φόνος	murder
G3744	ὀσμή	fragrance (literally or figuratively)
G4573	σεβάζομαι	to venerate, i.e. adore
G2828	κλισία	properly, reclination, i.e. (concretely and specially), a party at a meal
G210	ἄκων	unwilling
G284	Ἀμιναδάβ	Aminadab, an Israelite
G3339	μεταμορφόω	to transform (literally or figuratively, "metamorphose")
G1303	διατίθεμαι	to put apart, i.e. (figuratively) dispose (by assignment, compact, or bequest)
G746	ἀρχή	(properly abstract) a commencement, or (concretely) chief (in various applications of order, time, place, or rank)
G5389	φιλοτιμέομαι	to be fond of honor, i.e. emulous (eager or earnest to do something)
G5478	Χανααναῖος	a Chanaanæan (i.e. Kenaanite), or native of gentile Palestine
G3806	πάθος	properly, suffering ("pathos"), i.e. (subjectively) a passion (especially concupiscence)
G3792	ὀχλοποιέω	to make a crowd, i.e. raise a public disturbance
G3454	μῦθος	a tale, i.e. fiction ("myth")
G3609	οἰκεῖος	domestic, i.e. (as noun), a relative, adherent
G187	ἀκμάζω	to make a point, i.e. (figuratively) mature
G3834	πανουργία	adroitness, i.e. (in a bad sense) trickery or sophistry
G3895	παραπίπτω	to fall aside, i.e. (figuratively) to apostatize
G4500	ῥοιζηδόν	whizzingly, i.e. with a crash
G130	αἱματεκχυσία	an effusion of blood
G1474	ἐδαφίζω	to raze
G4446	πυρετός	inflamed, i.e. (by implication) feverish (as noun, fever)
G5365	φιλαργυρία	avarice
G2255	ἥμισυ	(as noun) half
G624	Ἀπολλωνία	from G622 (Ἀπολλωνία)); Apollonia, a place in Macedonia
G3861	παράδοξος	contrary to expectation, i.e. extraordinary ("paradox")
G4720	Στάχυς	Stachys, a Christian
G4003	πεντεκαιδέκατος	five and tenth
G4942	συνυποκρίνομαι	to act hypocritically in concert with
G1751	ἔνειμι	to be within (neuter participle plural)
G4199	πορθέω	to ravage (figuratively)
G4022	περιέρχομαι	to come all around, i.e. stroll, vacillate, veer
G3174	μέγεθος	magnitude (figuratively)
G3949	παροργίζω	to anger alongside, i.e. enrage
G1482	ἐθνικός	national ("ethnic"), i.e. (specially) a Gentile
G1403	δοχή	a reception, i.e. convivial entertainment
G5355	φθόνος	ill-will (as detraction), i.e. jealousy (spite)
G366	ἀνανήφω	to become sober again, i.e. (figuratively) regain (one's) senses
G3772	οὐρανός	the sky; by extension, heaven (as the abode of God); by implication, happiness, power, eternity; specially, the Gospel (Christianity)
G4910	συνευωχέω	to entertain sumptuously in company with, i.e. (middle voice or passive) to revel together
G2372	θυμός	passion (as if breathing hard)
G3466	μυστήριον	a secret or "mystery" (through the idea of silence imposed by initiation into religious rites)
G1749	ἔνεδρον	an ambush, i.e. (figuratively) murderous design
G1561	ἐκδοχή	expectation
G2337	θηλάζω	to suckle, (by implication) to suck
G4821	συμβασιλεύω	to be co-regent (figuratively)
G1112	γογγυσμός	a grumbling
G2092	ἕτοιμος	adjusted, i.e. ready
G874	ἀφορμή	a starting-point, i.e. (figuratively) an opportunity
G5138	τραχύς	uneven, rocky (reefy)
G2940	κυβεία	gambling, i.e. (figuratively) artifice or fraud
G2267	Ἡρωδίων	Herodion, a Christian
G4956	συστατικός	introductory, i.e. recommendatory
G1177	δεκαδύο	two and ten, i.e. twelve
G166	αἰώνιος	perpetual (also used of past time, or past and future as well)
G3677	ὄναρ	a dream
G3028	λῆμψις	receipt (the act)
G2427	ἱκανόω	to enable, i.e. qualify
G4713	στάμνος	a jar or earthen tank
G471	ἀντέπω	to refute or deny
G439	ἀνθρακιά	a bed of burning coals
G3050	λογικός	rational ("logical")
G4481	Ῥεμφάν	Remphan (i.e. Kijun), an Egyptian idol
G5472	χαλκηδών	copper-like, i.e. "chalcedony"
G1613	ἐκταράσσω	to disturb wholly
G1583	ἐκλαλέω	to divulge
G2776	κεφαλή	the head (as the part most readily taken hold of), literally or figuratively
G5423	φρεναπάτης	a mind-misleader, i.e. seducer
G4769	στῦλος	properly akin to the base of G2476 (στῦλος)); a post ("style"), i.e. (figuratively) support
